sku;short_description;adapt;regular_price
FH-DG5000;Frequency Hopping Option;DG5000; 324 632 ? 
FREQ-DL3;High Frequency Option;DL3000; 16 755 ? 
High Impedance Adapter;HighImpedanceAdapter;DS80000; 503 580 ? 
HIRES-DL3;Readback Resolution Option;DL3000; 16 755 ? 
HIRES-DP700;1mV/1mA resolution option;DP700; 8 254 ? 
HIRES-DP800;1mV&1mA resolution option;DP800; 14 661 ? 
IC?????;LA Testing Nips;LA Testing Nips; 8 378 ? 
INTERFACE-DP800;RS232 and LAN interface;DP800; 18 850 ? 
KELVINTESTCLIP?DMM;Kelvin Test Clip;DMM Accessories; 10 472 ? 
LAN-DL3;LAN Interface Option;DL3000; 16 755 ? 
LD-DM;DMM Test Lead;DMM Accessories; 4 189 ? 
M3A2B;Analog Bus to Banana port for M300;M300; 2 125 ? 
M3GPIB;GPIB Reverse Entry for M300;M300; 10 472 ? 
M3TB16;Terminal Box for MC3416;M300; 12 751 ? 
M3TB20;Terminal Box for MC3120;M300; 12 751 ? 
M3TB24;Terminal Box for MC3324;M300; 12 751 ? 
M3TB32;Terminal Box for MC3132;M300; 12 751 ? 
M3TB32T;Terminal Box for MC3132(Dedicated to temperature test);Data Acquisition/Switch System; 12 566 ? 
M3TB34;Terminal Box for MC3534;M300; 12 751 ? 
M3TB48;Terminal Box for MC3648;M300; 12 751 ? 
M3TB64;Terminal Box for MC3164;M300; 12 751 ? 
MC3065;DMM Module;M300; 77 493 ? 
MC3120;20-Channel Multiplexer;M300; 54 454 ? 
MC3132;32-Channel Multiplexer;M300; 69 115 ? 
MC3164;64-Channel Single-Ended Multiplexer;M300; 69 115 ? 
MC3324;24-Channel Multiplexer;M300; 79 587 ? 
MC3416;16-Channel Actuator;M300; 58 643 ? 
MC3534;Multifunction module;M300; 90 059 ? 
MC3648;4x8 Matrix Switch;M300; 73 304 ? 
MCAL104-NF1;Mechanical Calibration Kit, DC ~ 4.5 GHz, Type-N (f), 50 ?;Vector Network Analyzer; 78 324 ? 
MCAL104-NM1;Mechanical Calibration Kit, DC ~ 4.5 GHz, Type-N (m), 50 ?;Vector Network Analyzer; 78 324 ? 
MCAL104-SF1;Mechanical Calibration Kit, DC ~ 4.5 GHz, SMA (f);Vector Network Analyzer; 94 494 ? 
MCAL104-SM1;Mechanical Calibration Kit, DC ~ 4.5 GHz, SMA (m);Vector Network Analyzer; 94 494 ? 
MCAL109-NF1;Mechanical Calibration Kit, DC ~ 9 GHz, Type-N (f), 50 ?;Vector Network Analyzer; 253 884 ? 
MCAL109-NK1;Mechanical Calibration Kit, DC ~ 9 GHz, Type-N (m & f), 50 ?;Vector Network Analyzer; 484 884 ? 
MCAL109-NM1;Mechanical Calibration Kit, DC ~ 9 GHz, Type-N (m), 50 ?;Vector Network Analyzer; 253 884 ? 
MCAL109-SF1;Mechanical Calibration Kit, DC ~ 9 GHz, SMA (f);Vector Network Analyzer; 311 634 ? 
MCAL109-SK1;Mechanical Calibration Kit, DC ~ 9 GHz, SMA (m & f);Vector Network Analyzer; 521 844 ? 
MCAL109-SM1;Mechanical Calibration Kit, DC ~ 9 GHz, SMA (m);Vector Network Analyzer; 311 634 ? 
MCAL126-35K1;Mechanical Calibration Kit, DC ~ 26.5 GHz, 3.5 mm (m & f);Vector Network Analyzer; 785 184 ? 
MCAL226-35F5;4-in-1 OSLT Mechanical Calibration Kit, DC ~ 26.5 GHz, 3.5 mm (f);Vector Network Analyzer; 623 484 ? 
MHO2000-AEROA;MIL-STD-1553 bus triggering and decoding option;MHO2000; 46 169 ? 
MHO2000-AUDIOA;I2S audio bus triggering and analysis option;MHO2000; 46 169 ? 
MHO2000-AUTOA;CAN-FD, LIN bus triggering and decoding option;MHO2000; 46 169 ? 
MHO2000-AWG;Built-in dual-channel 50MHz function signal generator option;MHO2000; 69 269 ? 
MHO2000-BND;BND option;MHO2000; 173 219 ? 
MHO2000-FLEXA;FlexRay triggering and decoding option;MHO2000; 46 169 ? 
MHO2000-PWRA;Power analysis option;MHO2000; 46 169 ? 
MHO5000-3PHA;3-Phase Power Analysis;MHO/DHO5000; 229 583 ? 
MHO5000-AEROA;MIL-STD-1553 Bus Trigger and Decoding Option;MHO/DHO5000; 150 119 ? 
MHO5000-AUDIOA;I2S Audio Bus Trigger and Analysis Option;MHO/DHO5000; 150 119 ? 
